geography_type,year,geography,total,age_0-17,age_18-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-79,age_80+,age_0-4,age_5-11,age_12-17,age_5+,age_18+,age_65+,female,male,latinx,asian_non-latinx,black_non-latinx,white_non-latinx,other_race_non-latinx
Zip Code,2020,60625,78820,15832,14588,17768,10967,8363,6687,2691,1924,5366,5826.0,4584.0,73454,62988,7303,40253,38567,25957,9250.0,3504.0,36492,3617.0
Zip Code,2020,60632,86715,23661,17253,12227,10482,9650,6839,4795,1808,6266,9150.0,8244.0,80449,63054,9356,41922,44793,71914,5774.0,936.0,7721,370.0
Zip Code,2020,60633,12720,2785,1929,1958,1374,2099,1156,927,492,639,1100.0,1036.0,12081,9935,1945,6373,6347,5605,0.0,3268.0,3817,30.0
Zip Code,2020,60634,75604,15430,10876,10909,10921,11400,7989,5382,2697,3927,5624.0,5871.0,71677,60174,11221,38951,36653,29667,3881.0,1441.0,39825,790.0
Zip Code,2020,60636,30039,6809,4911,3142,3505,3903,2919,3563,1287,1786,2584.0,2439.0,28253,23230,6067,16370,13669,3428,24.0,25679.0,395,513.0
Zip Code,2020,60637,46621,10666,11532,5997,4924,4970,4668,2521,1343,2717,4130.0,3707.0,43904,35955,5751,26192,20429,1409,2279.0,34827.0,6451,1655.0
Zip Code,2020,60638,57057,13803,7720,8573,7682,8140,6209,2799,2131,3519,5290.0,4994.0,53538,43254,7700,27984,29073,30149,310.0,1959.0,24154,485.0
Zip Code,2020,60639,88515,23270,15119,13086,12292,9829,8491,4421,2007,5868,8876.0,8523.0,82647,65245,10149,44344,44171,67494,1232.0,11718.0,7144,927.0
Zip Code,2020,60640,69726,9088,14076,15316,9444,9428,6077,3264,3033,3227,3498.0,2348.0,66499,60638,8860,33739,35987,9836,7808.0,11682.0,38178,2222.0
Zip Code,2020,60641,70163,15784,11010,11930,10276,8953,6964,3477,1769,4413,6052.0,5291.0,65750,54379,7836,36602,33561,37411,3462.0,1777.0,25057,2456.0
Zip Code,2020,60642,20191,1810,6738,5997,2572,1371,1089,418,196,913,521.0,376.0,19278,18381,1074,9968,10223,3450,1708.0,1916.0,12346,771.0
Zip Code,2020,60643,48572,11319,6078,5563,5646,7595,6204,3208,2959,2949,3877.0,4472.0,45623,37253,8783,26643,21929,1818,207.0,34282.0,10549,1716.0
